formation_name,formation_art,description,side_of_ball
Flexbone,,A triple-option oriented formation featuring two wingbacks and a fullback close to the line. Designed to stress the perimeter and force defenses to account for multiple option threats on every snap.,Offense
Pistol,,A hybrid of shotgun and under-center looks where the QB lines up 3–4 yards deep with a running back directly behind him. Balances downhill run timing with shotgun spread elements.,Offense
Shotgun,,"Quarterback aligns 5–7 yards behind the center with the offense spread horizontally. Excellent for RPOs, quick passing, and reading defensive leverage pre-snap",Offense
Goal Line Offense,,"A heavy, condensed formation with extra blockers and tight splits designed for short-yardage power. Prioritizes brute force, low pad level, and quick-hitting runs.",Offense
Power I,,"A downhill, run-first alignment featuring a fullback and an additional H-back or tailback in a straight I-stack. Built for Iso, Power, and play-action shots.",Offense
Maryland I,,A three-back stack behind the QB in a deep I-formation. Creates overwhelming numbers at the point of attack for extreme power-running situations.,Offense
Wildcat,,"Direct snaps to a running back or versatile athlete, often with misdirection and option elements. Puts the ball in the hands of a playmaker immediately.",Offense
Singleback,,"QB under center with one running back and balanced tight end/receiver sets. Supports zone runs, play-action, and timing-based passing concepts.",Offense
I Form,,"A traditional pro-style set with the QB under center, a fullback at depth, and a tailback directly behind. Strong for inside/outside zone, Iso, and bootleg concepts.",Offense
Full House,,"Three backs forming a triangle or diamond behind the QB. A versatile power formation offering misdirection, triple-option looks, and balanced run blocking.",Offense
Strong I,,"An offset I-Formation with the fullback aligned to the strong side. Creates extra support for wide zone, power, and strong-side run schemes.",Offense
Split T,,An old-school option formation with wide line splits and a single back behind the QB. Built to create natural running lanes and leverage-based option reads.,Offense
Weak I,,"Similar to the Strong I, but with the fullback shifted opposite the tight end. Good for counter runs, weak-side Iso, and misdirection play-action.",Offense
Wishbone,,A triple-option formation with two halfbacks flanking a fullback behind the QB. One of the most physically demanding and assignment-intensive run structures.,Offense
Split Backs,,"Two running backs split behind the QB at equal depth. Excellent for balanced protection, quick-hitting runs, and dual-back passing concepts.",Offense
3-4,,"Three down linemen and four linebackers. Flexible and blitz-friendly, ideal for disguising fronts and bringing pressure from multiple angles.",Defense
Nickel,,Five defensive backs with either four down linemen or a hybrid linebacker. Designed to stop modern spread passing attacks and defend slot receivers.,Defense
3-3-5,,"Three linemen, three linebackers, and five defensive backs. A versatile anti-spread formation with multiple creepers, simulated pressures, and zone-match coverages.",Defense
Dime,,Six defensive backs focused on pass coverage. Prioritizes speed on the field to handle vertical concepts and empty formations.,Defense
Dollar,,Seven defensive backs for extreme passing situations. Built to prevent explosive plays and flood deep coverage zones.,Defense
Prevent,,A deep-shell defensive alignment with multiple safeties retreating to protect against long passes. Sacrifices intermediate yards to stop game-changing plays.,Defense
Goal Line Defense,,"A heavy, short-yardage front with extra interior linemen and linebackers. Committed to filling every gap and crashing downhill immediately.",Defense
4-4,,Four linemen and four linebackers. Excellent against heavy personnel and perimeter run concepts with strong force-player presence.,Defense
4-2-5,,"Four linemen, two linebackers, and five defensive backs. A modern base defense built to combat spread offenses with hybrid safety-linebacker bodies.",Defense
46,,"A tight, aggressive run-stopping front popularized by Buddy Ryan. Walks the SS into the box and creates relentless pressure on the offense’s interior.",Defense
4-3,,"A balanced, traditional alignment with four linemen and three linebackers. Strong against both run and pass, with clean gap assignments and simple fits.",Defense
5-2,,"Five down linemen and two linebackers. A stout, old-school run defense designed to control the line of scrimmage and eliminate double teams.",Defense
