Formation_Set_ID,play,side_of_ball,play_art,description
1,Inside Veer Triple Opt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_inside-veer-triple-opt.png,
2,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_load-option.png,
3,Swing Screen,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_swing-screen.png,
4,Wb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_wb-dive.png,
3,Deep Look,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_deep-look.png,
5,Inside Veer Triple Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_inside-veer-triple-option.png,
6,Dart Read Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_dart-read-option.png,
1,Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_fb-dive.png,
7,Midline Triple Opt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_midline-triple-opt.png,
2,Fk Rocket Toss Rollout,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_fk-rocket-toss-rollout.png,
5,Corner Hooks,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_corner-hooks.png,
7,Inside Veer Triple Opt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_inside-veer-triple-opt.png,
8,Qb Sneak,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_qb-sneak.png,
9,Y Shallow Cross,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_y-shallow-cross.png,
6,Inside Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_inside-zone.png,
5,Flood,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_flood.png,
7,Hb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_hb-dive.png,
6,Corner Strike,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_corner-strike.png,
7,Corner Strike,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_corner-strike.png,
2,Hb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_hb-counter.png,
4,Hb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_hb-counter.png,
5,Hb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_hb-counter.png,
9,Hb Slip Screen,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_hb-slip-screen.png,
6,Read Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_read-option.png,
9,Read Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_read-option.png,
6,Speed Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_speed-option.png,
3,Speed Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_speed-option.png,
5,Stick,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_stick.png,
10,Stick N Nod,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_stick-n-nod.png,
6,45 Quick Base,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_45-quick-base.png,
2,All Go,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_all-go.png,
4,All Go,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_all-go.png,
10,Clearout Return,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_clearout-return.png,
2,Corners,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_corners.png,
5,Corners,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_corners.png,
6,Curl Combo,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_curl-combo.png,
4,Curl Flats,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_curl-flats.png,
9,Curl Flats,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_curl-flats.png,
10,Diy Reverse,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_diy-reverse.png,
3,Diy Reverse,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_diy-reverse.png,
11,Diy Reverse,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_diy-reverse.png,
12,Double Flares,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-tight_double-flares.png,
7,Double Post,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_double-post.png,
10,Double Post,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_double-post.png,
1,Double Post,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_double-post.png,
9,Fake Bubble Slant,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_fake-bubble-slant.png,
6,Fake Jet Hb Seam,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_fake-jet-hb-seam.png,
6,Fake Jet Pass Power,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_fake-jet-pass-power.png,
7,Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_fb-dive.png,
8,Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_fb-dive.png,
13,Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_fb-dive.png,
2,Fb Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_fb-toss.png,
4,Fb Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_fb-toss.png,
5,Fb Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_fb-toss.png,
2,Fb Wham,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_fb-wham.png,
2,Fb Zone Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_fb-zone-dive.png,
4,Fb Zone Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_fb-zone-dive.png,
5,Fb Zone Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_fb-zone-dive.png,
2,Fk Fb Toss Rollout,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_fk-fb-toss-rollout.png,
4,Fk Fb Toss Rollout Rt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_fk-fb-toss-rollout-rt.png,
4,Fk Rocket Toss Rollout,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_fk-rocket-toss-rollout.png,
1,Fl Dig,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_fl-dig.png,
14,Fl Drive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_fl-drive.png,
7,Flanker Drag,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_flanker-drag.png,
2,Flood,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_flood.png,
4,Flood,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_flood.png,
13,Hb Blast,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_hb-blast.png,
8,Hb Counter Wk,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_hb-counter-wk.png,
8,Hb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_hb-dive.png,
9,Hb Draw,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_hb-draw.png,
15,Hb Lead Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/maryland-i_heavy_hb-lead-dive.png,
13,Hb Misdirection,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_hb-misdirection.png,
12,Hb Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-tight_hb-power-o.png,
8,Hb Split 0,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_hb-split-0.png,
8,Hb Sting,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_hb-sting.png,
7,Qb Power,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_qb-power.png,
9,Smash Corners,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_smash-corners.png,
9,Rpo Read Bubble,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_rpo-read-bubble.png,
12,Texas,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-tight_texas.png,
5,Rocket Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_rocket-toss.png,
14,Tr Option Cntr,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_tr-option-cntr.png,
1,Midline Triple,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_midline-triple.png,
8,Pa Waggle,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_pa-waggle.png,
6,Qb Wrap,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_qb-wrap.png,
4,Inside Veer Triple Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_inside-veer-triple-option.png,
13,Pa Boot Slide,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_pa-boot-slide.png,
14,Pa Curl Flat,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_pa-curl-flat.png,
5,Pa Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_pa-fb-dive.png,
8,Pa Sprint Hb Flat,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_pa-sprint-hb-flat.png,
8,Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_power-o.png,
6,Slant Flat,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_slant-flat.png,
1,Slants,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_slants.png,
7,Wr Screen,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_wr-screen.png,
